STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Florida,2009,2623067.0,26494500,2694566,9047586,14752348,28867429,13884278,8067350,1546420.0,4533913
Georgia,2009,1649598.0,17972839,1644548,7739086,8589205,19025136,10063924,5135180,837062.0,2712073
Hawaii,2009,179478.0,2689758,392837,2205032,91889,2318671,1402305,718309,129473.0,68584
Idaho,2009,267951.0,2182273,218777,1459554,503942,2078446,1157633,646213,100576.0,111190
Illinois,2009,2117291.0,26987426,3346509,7879160,15761757,27716187,13520105,8764971,932950.0,2884993
Indiana,2009,1028259.0,12999357,1403839,5804809,5790709,11218398,5548292,3681825,476598.0,899628
Iowa,2009,487559.0,5732319,431142,2545353,2755824,5732186,2914176,1615189,225983.0,672339
Kansas,2009,470445.0,5615208,378810,3291485,1944913,5827751,2883104,1578417,223951.0,958961
Kentucky,2009,669858.0,6706922,719997,3870440,2116485,6831006,3468191,2050683,411529.0,720114
Louisiana,2009,662774.0,7984550,1238259,3568903,3177388,8053960,4051985,2542723,408292.0,824390
Maine,2009,187372.0,2623127,245063,1107152,1270912,2624504,1383650,857706,148378.0,108016
Maryland,2009,843781.0,13147931,694846,5697257,6755828,12757599,6899346,3984072,490336.0,961161
Massachusetts,2009,932437.0,15298022,1181681,5974489,8141852,15174814,8885949,4626112,456737.0,589413
Michigan,2009,1537515.0,19616665,2094714,10130740,7391211,19992550,9422685,6354021,865858.0,1280455
Minnesota,2009,800831.0,10353784,575703,6590788,3187293,11193640,5815987,2712430,803017.0,1187008
Mississippi,2009,491194.0,4392101,675576,2334363,1382162,4552756,2317710,1392119,275915.0,493773
Missouri,2009,893807.0,9472520,758650,3927189,4786681,10227305,5175127,3023041,535977.0,1120105
Montana,2009,141782.0,1607935,195705,765177,647053,1622485,855803,509899,66973.0,158151
Nebraska,2009,292161.0,3522481,297732,1182776,2041973,3523803,1887427,905681,144995.0,488293
Nevada,2009,430985.0,4442101,425133,2272415,1744553,4577881,2145779,1364083,142194.0,633545
New Hampshire,2009,197024.0,2816162,146867,1002239,1667056,2757401,1546316,822081,74820.0,112359
New Jersey,2009,1354912.0,26510413,1014556,10401527,15094330,26145334,13800343,8687138,952796.0,1499241
New Mexico,2009,328737.0,3703477,519973,2615320,568184,3945515,1807514,1167618,132017.0,784529
New York,2009,2696688.0,55885116,3197833,25768345,26918938,57851481,35195372,14079990,1415237.0,5463718
North Carolina,2009,1452064.0,15410564,1377661,8229140,5803763,14868070,7943541,3848021,751609.0,1647148
North Dakota,2009,94653.0,1150142,160294,407374,582474,1137260,579830,310316,78735.0,95977
Ohio,2009,1729072.0,22779344,1531263,10226228,11021853,22427481,10734314,7347959,929409.0,2552105
Oklahoma,2009,644549.0,6029807,768972,3014993,2245842,5941799,2836912,1895590,577867.0,568720
Oregon,2009,560726.0,6158756,656298,3117315,2385143,6715011,3291310,2121378,214699.0,803096
Pennsylvania,2009,1687145.0,26755585,1811141,9858461,15085983,27328680,12803821,7637090,1155635.0,2411908
Rhode Island,2009,141521.0,2179714,206225,765069,1208420,2171376,1224158,773039,90493.0,24161
South Carolina,2009,714290.0,7669733,734602,3654658,3280473,8427391,3854229,2463391,398422.0,1318784
South Dakota,2009,126624.0,1258876,201889,412798,644189,1273527,645912,379946,56772.0,154459
Tennessee,2009,971484.0,8112895,870374,3800870,3441651,8611178,4809809,2480290,461464.0,652210
Texas,2009,4647205.0,48087531,4913841,19708771,23464919,53575273,23895853,13799383,2289408.0,9297597
Utah,2009,532433.0,4238943,535223,2224007,1479713,4419750,2169434,1008636,310325.0,821593
Vermont,2009,86320.0,1683034,102453,1336424,244157,1661019,859433,489015,49100.0,64170
Virginia,2009,1235064.0,15251481,914507,6317714,8019260,15510318,8194237,4813706,574858.0,1418914
Washington,2009,1035907.0,12025012,1385421,7146416,3493175,12240632,5984072,3464921,509407.0,1818982
West Virginia,2009,281908.0,3097212,355325,1793917,947970,3121728,1759397,994305,196984.0,157049
Wisconsin,2009,867035.0,10991081,1258519,4785070,4947492,10880480,5857285,3382519,473295.0,648807
Wyoming,2009,86971.0,1675761,108333,945765,621663,1658156,744877,482641,47165.0,372507
Alabama,2010,748889.0,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539.0,729720
Alaska,2010,131265.0,2230338,366970,1356673,506695,2371251,1151630,856333,71634.0,229874
Arizona,2010,963517.0,8828122,1579806,3139588,4108728,8812967,4223152,2949514,400773.0,713810
Arkansas,2010,474897.0,5069272,787738,3677112,604422,5520387,2521528,1595730,639753.0,595456
California,2010,6213958.0,67356719,9715980,34173911,23466828,71227111,34657275,20704755,3556156.0,7150441
Colorado,2010,825242.0,8793676,714230,3817875,4261571,8914338,4232076,2807231,330789.0,1011988
Connecticut,2010,534800.0,9726922,818573,3238401,5669948,9542108,5242817,2768520,331600.0,823081
Delaware,2010,117628.0,1733458,180584,992422,560452,1758988,901200,499586,79328.0,192826
District of Columbia,2010,43866.0,1195934,80585,0,1115349,1290048,526469,425379,40837.0,297363
Florida,2010,2627390.0,26231141,4200103,8216582,13814456,27267009,13869921,8069310,1573867.0,2944085
Georgia,2010,1660643.0,17839851,2598486,6739406,8501959,17834488,9841382,5059938,822517.0,1814143
Hawaii,2010,180196.0,2564856,382400,2093300,89156,2215458,1321657,697833,123051.0,72917
Idaho,2010,266613.0,2177999,444112,1231537,502350,2098737,1159932,638912,100157.0,135181
Illinois,2010,2098401.0,28253620,3809939,8696107,15747574,28560306,14668228,9146295,961079.0,1944264
Indiana,2010,1026053.0,14023240,1477561,7342841,5202838,11502534,5746633,3696608,492877.0,929416
Iowa,2010,491255.0,5744872,728361,2217889,2798622,5941449,2970150,1622316,226336.0,811476
Kansas,2010,471406.0,5454128,673692,2860999,1919437,5979429,2837948,1529158,219287.0,1182167
Kentucky,2010,679901.0,6881951,1059915,3662243,2159793,7092071,3616584,2117063,416036.0,747498
Louisiana,2010,663802.0,8091029,1549575,3348043,3193411,8125021,4136550,2543542,402190.0,788979
Maine,2010,187634.0,2721365,320917,1083913,1316535,2680693,1421800,874381,106653.0,157510
Maryland,2010,848252.0,13327770,1004498,5544725,6778547,13205691,7147880,4047487,481151.0,1107922
Massachusetts,2010,929569.0,14919763,1092892,5742989,8083882,14857823,8479433,4512401,442057.0,807802
Michigan,2010,1510716.0,19393461,2383817,9694417,7315227,19967017,9457233,6228939,879325.0,1201729
Minnesota,2010,799615.0,10383935,1245368,5978487,3160080,10564774,5676045,2504618,795088.0,949938
Mississippi,2010,491651.0,4466377,945973,2109089,1411315,4504257,2337184,1399684,273024.0,421984
Missouri,2010,897348.0,9587703,1430854,3471772,4685077,10139784,5237387,3043213,549680.0,926566
Montana,2010,141693.0,1623971,256049,744931,622991,1642886,895727,531730,68814.0,110195
Nebraska,2010,294948.0,3720560,465728,1184996,2069836,3640199,2089854,927065,152158.0,371348
Nevada,2010,423859.0,4262471,358496,2341891,1562084,4260869,2117135,1359161,142848.0,381094
New Hampshire,2010,196648.0,2906573,185175,1060998,1660400,2856965,1612216,837094,76110.0,131261
New Jersey,2010,1369553.0,26676217,2386865,9059511,15229841,26736651,14481471,8958765,962529.0,1154089
New Mexico,2010,331436.0,3638606,753816,2307843,576947,3814058,1800983,1178045,135042.0,634137
New York,2010,2697357.0,55453300,3694050,23111427,28647823,60067253,36628097,14152383,1433218.0,6125749
North Carolina,2010,1444409.0,16621268,1927843,7451302,7242123,14162497,7637844,3873929,705012.0,1192652
North Dakota,2010,94997.0,1308214,277985,552616,477613,1267426,627378,342204,80790.0,142873
Ohio,2010,1669748.0,23247907,2310440,9987732,10949735,22701333,10976072,7468941,923709.0,2451038
Oklahoma,2010,653592.0,5778507,768319,2658186,2352002,5971651,2900568,1901671,624330.0,471937
Oregon,2010,560239.0,6219779,813110,2947614,2459055,6398065,3246437,2054025,219391.0,573818
Pennsylvania,2010,1682887.0,27883991,2977089,9430947,15475955,28231191,13442543,7774897,1183764.0,2208448
Rhode Island,2010,141023.0,2207123,247217,736525,1223381,2187163,1238257,758963,89242.0,40673
South Carolina,2010,715590.0,7755419,1058473,3377539,3319407,8242553,3797945,2445636,389554.0,1203253
South Dakota,2010,123555.0,1292742,250554,398601,643587,1281632,660064,382212,57639.0,146273
Tennessee,2010,971414.0,8405025,1094293,3834174,3476558,8760367,4934044,2516326,467568.0,627390
Texas,2010,4728815.0,50559500,7984614,18899565,23675321,53810244,25097921,14179639,2401640.0,8055742
Utah,2010,538676.0,4250259,570301,2171889,1508069,4326951,2117551,1002867,308107.0,786272
Vermont,2010,87750.0,1749898,173528,1326528,249842,1719870,890606,509650,47578.0,65751
Virginia,2010,1244673.0,14937195,1532041,5489710,7915444,14919831,8049137,4654459,565527.0,1127484
Washington,2010,1034735.0,11919090,1400984,6931430,3586676,11820814,5934710,3402730,503236.0,1516372
West Virginia,2010,281828.0,3176874,513794,1677745,985335,3484593,1978226,1094980,204402.0,191662
Wisconsin,2010,864898.0,11289720,1115342,4951919,5222459,11116821,5994721,3455651,485711.0,617744
Wyoming,2010,87379.0,1718605,123942,880916,713747,1696177,787627,504838,49289.0,340678
Alabama,2011,746933.0,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140.0,564183
Alaska,2011,131704.0,2357828,420152,1416163,521513,2443898,1215062,908567,81031.0,180137
Arizona,2011,946571.0,8429186,1245814,3054501,4128871,8610417,3977772,2935127,350633.0,741124
Arkansas,2011,475551.0,5176362,827026,3701224,648112,5669431,2559292,1655684,676591.0,605857
California,2011,6202604.0,70953331,9990221,37752712,23210398,69847705,34225248,20266047,3486160.0,6523770
Colorado,2011,834832.0,8747471,969288,3493923,4284260,8676451,4204486,2804955,338267.0,827354
Connecticut,2011,530132.0,9783168,796156,3185501,5801511,9439182,5363942,2844490,333756.0,516116
Delaware,2011,119878.0,1759170,192182,1010026,556962,1808905,964284,497158,89576.0,182497
District of Columbia,2011,44199.0,1283071,155505,0,1127566,1297175,525185,389526,56132.0,326332
Florida,2011,2636404.0,26453693,4710376,9069119,12674198,26991946,14284224,8077593,1637138.0,2217069
Georgia,2011,1666039.0,18030043,2267161,7492489,8270393,17187481,9671343,5005101,874605.0,1368395
Hawaii,2011,179601.0,2499513,347363,2088870,63280,2259104,1253534,786284,133810.0,85476
Idaho,2011,265713.0,2089982,292602,1320153,477227,1960818,1104553,613667,98963.0,83524
Illinois,2011,2072114.0,29507584,2894897,10030682,16582005,28525858,14636402,9271610,922651.0,1884866
Indiana,2011,1023220.0,12125155,1024389,7340384,3760382,11113533,5609296,3548729,500684.0,843671
Iowa,2011,493493.0,6098470,596688,2537754,2964028,6057294,2995991,1638449,230237.0,861361
Kansas,2011,482692.0,5538869,612100,2945175,1981594,5662146,2839803,1530694,220493.0,851777
Kentucky,2011,672958.0,7104589,1164688,3704150,2235751,7253850,3663998,2238626,426989.0,733357
Louisiana,2011,665109.0,8022917,1497262,3269321,3256334,8218870,4162557,2582814,406798.0,809639
Maine,2011,186835.0,2654366,289290,1043281,1321795,2728535,1431522,874220,145034.0,164850
Maryland,2011,851971.0,13443940,1255964,5508339,6679637,13247697,7205515,4150447,482356.0,989839
Massachusetts,2011,924903.0,15396681,1197383,5783240,8416058,15150898,8685894,4583586,445972.0,817228
Michigan,2011,1455966.0,19374026,2525528,9845508,7002990,18469948,9198775,6024406,862583.0,1273466
Minnesota,2011,798891.0,10912368,842906,6289912,3779550,10612480,5644771,2520057,805204.0,1016875
Mississippi,2011,490526.0,4516742,1006465,2071467,1438810,4345783,2238165,1393211,274243.0,368906
Missouri,2011,896702.0,9915356,1344755,3828396,4742205,9842505,5100879,2975252,531640.0,849819
Montana,2011,141529.0,1631810,264517,713642,653651,1655584,902615,540180,72488.0,103728
Nebraska,2011,297659.0,3879388,571969,1153077,2154342,3676326,2101943,951912,171112.0,349683
Nevada,2011,429610.0,4146577,447002,2359671,1339904,4258855,2161550,1377125,149940.0,323746
New Hampshire,2011,189275.0,2947007,184768,1061011,1701228,3001244,1654129,855476,77384.0,206241
New Jersey,2011,1399409.0,26242376,1283994,9331426,15626956,25716298,14113108,8634990,909456.0,917304
New Mexico,2011,331373.0,3591330,636436,2355210,599684,3694437,1744548,1124390,140296.0,616478
New York,2011,2677412.0,57753776,5118477,23188002,29447297,59446908,37834196,14460678,1416793.0,4653802
North Carolina,2011,1448117.0,14409515,2046954,7488570,4873991,13767024,7566249,3843709,696313.0,980517
North Dakota,2011,96255.0,1309044,186844,630430,491770,1312226,660944,360118,86352.0,124967
Ohio,2011,1655534.0,23488657,2533882,9834235,11120540,23010396,11074360,7570565,935953.0,2494681
Oklahoma,2011,658163.0,5835133,968529,2741058,2125546,5644988,2866601,1814927,367172.0,510428
Oregon,2011,559631.0,6112484,848637,2792762,2471085,6317635,3261190,2071303,224903.0,461979
Pennsylvania,2011,1670854.0,28492510,3371827,9261234,15859449,28810721,13761915,7947108,1207139.0,2189151
Rhode Island,2011,139157.0,2212352,234111,768713,1209528,2198940,1260021,736651,93820.0,43726
South Carolina,2011,713511.0,7772777,1041572,3338715,3392490,7961448,3689782,2428477,388361.0,1016126
South Dakota,2011,125613.0,1297661,262395,374648,660618,1350617,661519,390655,59757.0,199636
Tennessee,2011,986382.0,8679893,1272825,3955476,3451592,8961443,4947165,2635217,479721.0,661195
Texas,2011,4800196.0,51023159,7818075,19623258,23581826,52691826,25155007,14325757,2474232.0,6556210
Utah,2011,545395.0,4141253,500782,2058112,1582359,4195916,2157337,1018548,315664.0,592949
Vermont,2011,86982.0,1686499,106823,1329172,250504,1722515,888388,511825,53418.0,63655
Virginia,2011,1250852.0,14655345,1427301,5351177,7876867,14675815,7861076,4602566,579290.0,1075067
Washington,2011,1042979.0,11905941,1367629,6758505,3779807,11928408,6007184,3427282,514227.0,1467334
West Virginia,2011,282130.0,3475642,510256,1927726,1037660,3670119,2010407,1160212,211866.0,269242
Wisconsin,2011,864251.0,11664303,1002909,5226954,5434440,11440718,6138402,3668777,479352.0,541918
Wyoming,2011,88165.0,1650621,154955,878979,616687,1656850,825783,528352,52046.0,234408
Alabama,2012,744621.0,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658.0,580949
Alaska,2012,130771.0,2383402,352005,1507913,523484,2483320,1255757,947153,82607.0,145219
Arizona,2012,942738.0,7934798,1050228,2845535,4039035,8054662,3917564,2856528,360929.0,699033
Arkansas,2012,475671.0,5169926,666267,3823172,680487,5299969,2548056,1683928,277927.0,612420
California,2012,6203034.0,69016392,8793325,36413273,23809794,70191877,34213049,20393761,3488344.0,6736656
Colorado,2012,843120.0,8616009,705634,3702427,4207948,8472536,4174705,2751179,353940.0,697434
Connecticut,2012,522451.0,10070907,509564,3735476,5825867,9791336,5485615,2932123,345177.0,637389
Delaware,2012,118624.0,1855867,183793,1090060,582014,1915966,1053066,531313,105134.0,149584
District of Columbia,2012,44618.0,1331006,137742,0,1193264,1189542,594156,266716,44780.0,283890
Florida,2012,2658559.0,24139266,3068321,8702317,12368628,25352047,13558844,7607362,1622628.0,1837264
Georgia,2012,1669156.0,17559894,1862297,7455147,8242450,17400209,9611118,5043644,917885.0,1566020
Hawaii,2012,182706.0,2535038,318728,2161254,55056,2344733,1262938,814511,143188.0,124096
Idaho,2012,267556.0,1981482,266087,1238989,476406,1911706,1073312,609786,102831.0,69239
Illinois,2012,2071481.0,29900021,2430413,10142137,17327471,29067543,14896596,9358604,956171.0,2032447
Indiana,2012,1006627.0,12395432,1096902,7462594,3835936,11351906,5659432,3670372,521782.0,894450
Iowa,2012,495870.0,6262807,512246,2681035,3069526,6256926,3072424,1688512,242935.0,900591
Kansas,2012,485591.0,5613619,410051,3173205,2030363,5615714,2935226,1569972,235158.0,662722
Kentucky,2012,681827.0,7192430,983232,3920971,2288227,7444529,3697663,2320305,448906.0,764062
Louisiana,2012,665478.0,8477993,1527734,3588546,3361713,8504567,4365583,2793437,433580.0,777379
Maine,2012,187247.0,2611056,239982,1012326,1358748,2625759,1376755,887596,108121.0,131394
Maryland,2012,853778.0,13752912,859635,5980541,6912736,13212140,7140620,4161605,336683.0,1139120
Massachusetts,2012,922683.0,15763456,979175,6200945,8583336,15696061,8801567,4642633,467588.0,1159931
Michigan,2012,1421312.0,18622316,1866406,9796808,6959102,18063824,9070480,5802009,862829.0,1200582
Minnesota,2012,799736.0,10681609,740098,6642440,3299071,10696348,5672620,2555775,826218.0,1034162
Mississippi,2012,490619.0,4477828,795110,2195720,1486998,4423270,2291333,1449935,281636.0,329375
Missouri,2012,893221.0,10022622,994192,4115324,4913106,9910617,5056789,2994397,553027.0,891474
Montana,2012,142237.0,1628318,214164,761029,653125,1652537,888206,536815,73808.0,117001
Nebraska,2012,300941.0,3764056,366016,1166374,2231666,3880517,2247992,984922,165408.0,374671
Nevada,2012,428526.0,4053945,403548,2401035,1249362,4109706,2049362,1336995,159943.0,321145
New Hampshire,2012,190778.0,2963221,187243,1029325,1746653,2961684,1654634,868513,78190.0,160056
New Jersey,2012,1330300.0,27574528,1371038,10401941,15801549,26432652,14491817,8921990,943029.0,940577
New Mexico,2012,328690.0,3478709,491732,2380982,605995,3616691,1688871,1097238,142740.0,615427
New York,2012,2644029.0,58981073,3769627,23314292,31897154,60216421,38431932,14662331,1490478.0,4094920
North Carolina,2012,1462172.0,12788659,1831015,7648102,3309542,13418244,7521325,3817233,716796.0,728580
North Dakota,2012,97555.0,1345371,160050,658255,527066,1380563,685786,368323,93834.0,160904
Ohio,2012,1630865.0,22799205,2007733,9336277,11455195,22662376,10861218,7524489,924456.0,2416140
Oklahoma,2012,664200.0,5824963,773014,2869071,2182878,5594867,2736786,1898922,385999.0,496119
Oregon,2012,566525.0,6124872,550894,3038052,2535926,6314092,3250376,2057965,228474.0,448562
Pennsylvania,2012,1644759.0,27881568,2145208,9561500,16174860,27851918,13450420,7682906,1170594.0,1735626
Rhode Island,2012,137400.0,2208278,204682,779000,1224596,2190431,1272285,727287,95213.0,33633
South Carolina,2012,715744.0,7889771,848254,3586738,3454779,7948441,3749691,2489094,408649.0,869025
South Dakota,2012,127726.0,1298723,212615,395054,691054,1296971,649023,379791,63166.0,172398
Tennessee,2012,998638.0,8983224,1257953,4017946,3707325,9256522,5151260,2693334,514174.0,671532
Texas,2012,4844744.0,49979753,6140296,19801928,24037529,50215314,23902458,13954303,2497013.0,5538370
Utah,2012,553873.0,4217360,426702,2158049,1632609,4330417,2161779,1052249,334499.0,666528
Vermont,2012,87968.0,1754161,124451,1372320,257390,1726321,904254,518561,54031.0,45788
Virginia,2012,1257332.0,14940479,1365551,5564504,8010424,15129464,8123166,4744530,611769.0,1078796
Washington,2012,1044856.0,11955582,1057045,7001110,3897427,12187889,5866729,3735795,524816.0,1552074
West Virginia,2012,282088.0,3970941,432223,2014017,1524701,3536971,1893954,1155259,220973.0,245082
Wisconsin,2012,863314.0,11139967,907311,4786356,5446300,10724377,5631108,3525882,491104.0,449246
Wyoming,2012,89994.0,1664983,144728,851896,668359,1670728,845801,540510,53299.0,213245
Alabama,2013,744548.0,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737.0,643522
Alaska,2013,131091.0,2545117,320938,1707449,516730,2665933,1324649,982442,87165.0,248505
Arizona,2013,941726.0,8164324,1178356,2934165,4051803,7600581,3824071,2643742,368750.0,558466
Arkansas,2013,477716.0,5067546,572096,3847045,648405,5226339,2545564,1694335,281692.0,533975
California,2013,6208733.0,68868516,7836263,35141208,25891045,69727119,34194878,20595508,3461759.0,6160059
Colorado,2013,851063.0,8826868,696266,3693829,4436773,8699125,4292898,2773716,365228.0,758041
Connecticut,2013,517812.0,10319361,434543,3870444,6014374,9758850,5562212,2966636,359881.0,487318
Delaware,2013,118685.0,1930466,151096,1124112,655258,1924626,1030897,560882,97722.0,157935
District of Columbia,2013,44179.0,1300036,129874,0,1170162,1308438,559940,332997,39825.0,375676
Florida,2013,2680074.0,24681548,3027018,9455562,12198968,25245400,13833236,7622221,1689414.0,1411455
Georgia,2013,1682620.0,17459504,1805878,7580785,8072841,17317504,9555687,4956142,932291.0,1632844
Hawaii,2013,184760.0,2331770,310778,1962923,58069,2345917,1283872,770643,144746.0,146656
Idaho,2013,272070.0,2015534,237912,1278155,499467,1967676,1113400,631575,107264.0,62882
Illinois,2013,2069823.0,30057886,2311235,10382540,17364111,29517831,15285224,9509657,986182.0,1942608
Indiana,2013,1002772.0,12236713,980013,7503451,3753249,11211155,5535933,3595471,527250.0,862576
Iowa,2013,499489.0,6281345,459132,3118413,2703800,6318241,3174989,1748683,254025.0,783793
Kansas,2013,488590.0,5667223,420820,3193838,2052565,5621023,2969201,1595974,243032.0,616590
Kentucky,2013,685009.0,7216175,867735,3960822,2387618,7413896,3663594,2323851,457079.0,729064
Louisiana,2013,671156.0,8121179,1229248,3370399,3521532,7940880,3963343,2657751,436167.0,644212
Maine,2013,184682.0,2650346,196466,1029166,1424714,2535405,1351259,867538,116847.0,70345
Maryland,2013,859252.0,13814727,828432,6093652,6892643,13284637,7303090,4243954,357919.0,955586
Massachusetts,2013,920968.0,16114783,818054,6428534,8868195,16201905,9097982,4759997,467050.0,1283156
Michigan,2013,1381167.0,18270327,1636324,9882361,6751642,17468264,8885537,5675448,848456.0,962506
Minnesota,2013,802454.0,10848720,646542,6792440,3409738,10942019,5826404,2652321,850969.0,1016760
Mississippi,2013,492847.0,4444064,707522,2213501,1523041,4370050,2274357,1465175,284089.0,285801
Missouri,2013,897224.0,10103589,894168,4235564,4973857,10001763,5139610,3082015,566933.0,833040
Montana,2013,142797.0,1671053,210593,788329,672131,1679521,907018,545326,74629.0,111496
Nebraska,2013,303242.0,3870164,366241,1217306,2286617,3913038,2318463,1026626,168033.0,298231
Nevada,2013,431776.0,4131800,392009,2556472,1183319,4057443,2058538,1396907,166814.0,222161
New Hampshire,2013,187703.0,2976317,163890,1020089,1792338,2878534,1642945,879507,76488.0,72588
New Jersey,2013,1338657.0,28070096,1145079,10986132,15938885,28179900,15489942,9131634,1218744.0,933676
New Mexico,2013,327209.0,3518621,519318,2401884,597419,3536546,1709797,1096508,145330.0,514077
New York,2013,2629805.0,59623918,3335657,23632698,32655563,60505950,38756656,14846782,1462376.0,3982327
North Carolina,2013,1468228.0,12729402,1579889,7891977,3257536,13650536,7681386,3957680,744037.0,653058
North Dakota,2013,101025.0,1405349,145905,685348,574096,1516575,718970,400607,94995.0,224615
Ohio,2013,1613718.0,22536516,1721213,8990516,11824787,22015797,10800145,7376469,916885.0,1998557
Oklahoma,2013,671445.0,5878111,715944,2890048,2272119,5796945,2800189,1972011,404107.0,557341
Oregon,2013,564006.0,6077498,471682,3041825,2563991,6228197,3261733,2067538,228499.0,343353
Pennsylvania,2013,1623694.0,28484645,2049113,9764558,16670974,28495118,15456205,7737010,1178563.0,1501024
Rhode Island,2013,136401.0,2282659,193393,841875,1247391,2231413,1265936,765178,96721.0,35089
South Carolina,2013,722249.0,8254462,814137,3819285,3621040,8224795,3933177,2621911,426662.0,853410
South Dakota,2013,130296.0,1316613,194731,408009,713873,1332496,663258,390637,64999.0,179586
Tennessee,2013,992461.0,9008032,1165801,4097627,3744604,9248235,5191269,2780452,534815.0,564756
Texas,2013,4897523.0,49734537,5695947,18873046,25165544,50674724,24226519,14150552,2585417.0,5472152
Utah,2013,562315.0,4300793,409774,2235917,1655102,4584624,2361179,1097484,309365.0,698249
Vermont,2013,89200.0,1817307,114697,1431621,270989,1809138,935593,538854,57026.0,55825
Virginia,2013,1264880.0,15322318,1108879,5874323,8339116,15634918,8445746,4874065,626080.0,1089417
Washington,2013,1050901.0,12242231,1042200,7159428,4040603,12097549,5911337,3777476,537261.0,1443002
West Virginia,2013,282310.0,3486366,383169,2027414,1075783,3488877,1828234,1130079,225073.0,284685
Wisconsin,2013,863737.0,11097447,827432,5587013,4683002,10845059,5637545,3551036,496850.0,521352
Wyoming,2013,91533.0,1695967,113501,881114,701352,1675477,846872,546422,52001.0,213920
Alabama,2014,740081.0,7357267,794090,4031547,2531630,7587737,3824295,2390530,587642.0,580934
Alaska,2014,130539.0,2663647,309525,1824373,529749,2727056,1346457,982843,86314.0,269107
Arizona,2014,943937.0,8361708,1102980,3182285,4076443,8109460,3902565,2858103,461316.0,678228
Arkansas,2014,479881.0,5193218,552738,4006889,633591,5242672,2609867,1753929,282078.0,424314
California,2014,6224685.0,72389126,7415061,38410554,26563511,72506810,35539425,21594573,3581789.0,6124103
Colorado,2014,865231.0,9162406,681230,3961719,4519457,9286626,4470568,3002964,373620.0,932776
Connecticut,2014,511082.0,10743919,420593,4141590,6181736,10201500,5889381,3128453,343615.0,447290
Delaware,2014,120623.0,1954374,133055,1137764,683555,1988535,1050647,582448,103583.0,171618
District of Columbia,2014,44942.0,1342220,134959,0,1207261,1313289,503349,375966,34409.0,399565
Florida,2014,2708022.0,26077462,3112027,10460928,12504507,26523658,14542370,7948773,1788820.0,1468023
Georgia,2014,1699185.0,17821620,1804212,7837335,8180073,17668352,9635641,5197804,967343.0,1642099
Hawaii,2014,186825.0,2696766,286988,2354601,55177,2504144,1386369,798677,145898.0,173200
Idaho,2014,281452.0,2084970,232593,1319582,532795,2012852,1108768,650395,109175.0,91323
Illinois,2014,2060632.0,31085621,2301827,11163462,17620332,31080869,16323537,10012961,975999.0,1999969
Indiana,2014,1007121.0,12399402,933891,7632238,3833273,11136045,5513142,3641179,526178.0,889924
Iowa,2014,501763.0,6455928,455586,3247115,2753227,6541553,3266694,1853835,259833.0,801317
Kansas,2014,496034.0,5813985,419415,3265012,2129558,5957954,3033016,1657449,246811.0,813093
Kentucky,2014,686789.0,7229857,825742,3966872,2437243,7346219,3659917,2345545,454067.0,620745
Louisiana,2014,665441.0,8352703,1272004,3455315,3625384,8140649,4026042,2731011,409510.0,706668
Maine,2014,178709.0,2675648,182961,1032280,1460407,2550302,1369822,886844,109348.0,66571
Maryland,2014,865768.0,13982544,816033,6186736,6979775,13712839,7475952,4303895,367048.0,1131199
Massachusetts,2014,920558.0,16609204,791029,6587492,9230683,16518383,9407351,4969348,488065.0,1028761
Michigan,2014,1363533.0,18457253,1563397,10073758,6820098,17358365,8858564,5735894,831071.0,856907
Minnesota,2014,804580.0,11168633,630445,7603409,2934779,11300786,5986788,2803239,880403.0,1069928
Mississippi,2014,492421.0,4480105,664697,2243098,1572310,4463078,2279076,1521319,287150.0,316494
Missouri,2014,892992.0,10256615,895743,4267069,5093803,10324249,5243167,3183894,577580.0,919482
Montana,2014,144034.0,1729712,201528,822788,705396,1754324,949120,570780,77193.0,121753
Nebraska,2014,307398.0,4005091,318179,1283012,2403900,4008633,2371149,1059275,175887.0,307828
Nevada,2014,435765.0,4203255,381596,2651854,1169805,4043820,2104452,1413964,170754.0,161354
New Hampshire,2014,184846.0,3042994,161989,1003995,1877010,2960615,1682021,913353,75750.0,87603
New Jersey,2014,1335350.0,28454548,1142878,11047025,16264645,27742203,14956606,9205196,1273398.0,895858
New Mexico,2014,326637.0,3601387,466320,2505492,629575,3576216,1709599,1088329,147184.0,562323
New York,2014,2619312.0,61337112,3347393,24830862,33158857,62556193,40168920,15381372,1515933.0,4060304
North Carolina,2014,1441391.0,13462754,1529624,7849343,4083787,13540706,7573296,4015292,747335.0,609013
North Dakota,2014,103272.0,1568997,155894,901032,512071,1597210,758669,422005,100586.0,239992
Ohio,2014,1601566.0,23297509,1692769,9492461,12112279,21847582,11350255,7111920,898844.0,1546152
Oklahoma,2014,670069.0,6034336,690122,2983860,2360354,6026661,2833650,2033459,404999.0,687788
Oregon,2014,566538.0,6621363,521463,3393147,2706753,6453635,3437466,2151154,242975.0,311077
